NAME,B01001_001,B01001_002,B02001_001,B02001_003,B19001_001,B19001_002,B19001_003,B19001_004,B19001_005,B19001_006,B19001_007,B19001_008,B29001_001,B29001_005
"Abbeville city, Georgia",2792,2295,2792,1853,321,58,30,60,37,27,30,13,2444,246
"Acworth city, Georgia",22336,10962,22336,6317,8543,449,405,269,432,408,400,372,15148,2296
"Adairsville city, Georgia",4792,2366,4792,481,1838,90,145,175,113,37,115,14,3424,470
"Adel city, Georgia",5290,2457,5290,2655,1993,308,196,142,163,121,92,94,3886,863
"Adrian city, Georgia",558,257,558,157,224,51,26,17,26,14,19,17,409,101
"Ailey city, Georgia",563,252,563,202,134,9,0,8,15,12,7,4,458,66
"Alamo town, Georgia",3362,2360,3362,1907,493,92,87,10,13,19,30,0,2958,262
"Alapaha town, Georgia",814,360,814,520,378,68,22,51,10,35,29,13,674,195
"Albany city, Georgia",74631,34125,74631,54818,28741,4310,2512,2111,1978,2032,1562,1524,55497,10251
"Aldora town, Georgia",123,65,123,10,43,8,2,2,1,12,2,2,70,12
"Allenhurst city, Georgia",915,407,915,418,300,22,21,23,2,7,24,10,653,94
"Allentown city, Georgia",123,64,123,52,37,3,0,2,1,10,2,5,88,33
"Alma city, Georgia",3474,1814,3474,1519,1064,179,98,170,99,81,51,80,2633,402
"Alpharetta city, Georgia",64672,32597,64672,7881,23790,581,405,507,593,602,566,451,38764,5556
"Alston town, Georgia",185,91,185,38,61,2,7,10,5,4,3,0,146,54
"Alto town, Georgia",1308,641,1308,67,370,28,16,18,35,15,27,5,575,81
"Ambrose city, Georgia",354,168,354,34,128,20,20,21,5,1,3,2,186,75
"Americus city, Georgia",15659,6886,15659,10525,6274,1068,560,517,423,396,425,331,11501,1916
"Andersonville city, Georgia",240,123,240,109,107,27,4,5,2,18,11,8,190,55
"Appling CDP, Georgia",1010,658,1010,190,322,104,0,0,6,48,22,7,758,179
"Arabi town, Georgia",645,347,645,117,269,17,43,5,20,36,8,14,507,136
"Aragon city, Georgia",1382,750,1382,71,465,40,18,39,58,35,59,26,1038,153
"Arcade city, Georgia",1554,798,1554,80,538,41,21,18,43,11,17,28,1272,222
"Argyle town, Georgia",217,97,217,121,91,16,8,6,7,7,0,6,186,57
"Arlington city, Georgia",1656,731,1656,1380,583,138,91,41,41,7,23,0,1152,150
"Arnoldsville city, Georgia",429,213,429,53,180,8,4,19,15,12,9,7,343,88
"Ashburn city, Georgia",3691,1673,3691,2743,1477,243,210,48,17,120,37,93,2790,724
"Athens-Clarke County unified government (balance), Georgia",123310,58641,123310,34098,46708,6871,3507,3910,2991,2609,2777,2028,93928,12398
"Atlanta city, Georgia",479655,233442,479655,248683,199478,20545,11893,10411,9231,9500,7848,7570,370652,53617
"Attapulgus city, Georgia",571,277,571,258,215,30,25,22,11,16,16,10,398,93
"Auburn city, Georgia",7303,3740,7303,729,2241,69,115,149,73,113,128,125,5180,567
"Augusta-Richmond County consolidated government (balance), Georgia",196807,94998,196807,112587,70390,8311,5058,4310,4261,4365,4481,3911,147856,25548
"Austell city, Georgia",7276,3467,7276,3822,2562,96,87,14,210,137,196,180,4504,492
"Avalon town, Georgia",185,92,185,33,71,16,3,3,3,0,5,4,143,26
"Avera city, Georgia",269,123,269,7,82,6,8,5,0,3,6,9,214,30
"Avondale Estates city, Georgia",3135,1351,3135,222,1403,31,32,46,31,14,50,48,2424,674
"Baconton city, Georgia",1001,529,1001,553,288,28,20,5,7,25,40,16,575,125
"Bainbridge city, Georgia",12152,5723,12152,7328,4436,973,276,339,217,195,253,210,8651,1840
"Baldwin city, Georgia",3482,1815,3482,14,987,99,10,62,70,70,103,37,1654,323
"Ball Ground city, Georgia",1993,997,1993,2,749,16,8,34,20,28,18,31,1472,240
"Barnesville city, Georgia",6608,2893,6608,3913,1995,360,254,211,91,166,170,143,5384,914
"Bartow town, Georgia",268,122,268,163,99,10,19,8,6,4,11,3,217,67
"Barwick city, Georgia",296,152,296,94,129,11,11,4,23,11,5,9,201,36
"Baxley city, Georgia",4697,2164,4697,1579,1530,211,99,134,100,70,93,110,3268,706
"Bellville city, Georgia",145,64,145,0,70,5,1,1,3,4,4,2,132,59
"Belvedere Park CDP, Georgia",15543,7522,15543,11499,6138,451,383,337,501,331,435,458,12246,1700
"Berkeley Lake city, Georgia",1994,1010,1994,104,723,27,6,12,6,7,9,10,1527,323
"Berlin city, Georgia",679,315,679,167,217,23,6,9,31,8,17,24,459,119
"Bethlehem town, Georgia",930,446,930,86,289,2,13,28,7,19,33,6,492,113
"Between town, Georgia",328,186,328,5,102,0,4,2,2,5,2,0,251,54
"Bishop town, Georgia",358,175,358,27,114,1,2,8,3,1,2,0,209,23
"Blackshear city, Georgia",3485,1664,3485,868,1389,212,86,162,83,93,85,47,2719,804
"Blairsville city, Georgia",625,399,625,74,190,34,29,30,21,19,7,12,521,111
"Blakely city, Georgia",4690,2036,4690,3274,1619,240,199,191,233,46,94,40,3033,614
"Bloomingdale city, Georgia",2726,1457,2726,315,1208,71,61,63,80,66,58,68,2114,461
"Blue Ridge city, Georgia",1242,569,1242,57,503,66,33,61,32,40,7,19,1027,388
"Bluffton town, Georgia",68,42,68,14,29,0,0,0,3,5,5,0,54,12
"Blythe town, Georgia",700,338,700,90,258,16,8,4,2,31,38,20,546,104
"Bogart town, Georgia",1390,700,1390,109,531,22,7,22,4,33,31,55,991,161
"Bonanza CDP, Georgia",3421,1635,3421,2376,1117,35,5,90,89,76,62,92,2141,406
"Boston city, Georgia",1325,562,1325,731,491,39,48,59,59,42,32,22,885,262
"Bostwick city, Georgia",294,155,294,55,95,4,1,4,2,0,8,6,230,29
